#,Date-Time (PDT),Temperature   (°C),Host Connected,Started,Button Down,Button Up,End of File
151,06/17/2025 16:34:00,5.83,,,,,
152,06/17/2025 16:35:00,5.79,,,,,
153,06/17/2025 16:36:00,5.75,,,,,
154,06/17/2025 16:37:00,5.70,,,,,
155,06/17/2025 16:38:00,5.70,,,,,
156,06/17/2025 16:39:00,5.79,,,,,
157,06/17/2025 16:40:00,5.83,,,,,
158,06/17/2025 16:41:00,5.87,,,,,
159,06/17/2025 16:42:00,5.79,,,,,
160,06/17/2025 16:43:00,5.83,,,,,
161,06/17/2025 16:44:00,5.83,,,,,
162,06/17/2025 16:45:00,5.66,,,,,
163,06/17/2025 16:46:00,5.62,,,,,
164,06/17/2025 16:47:00,5.57,,,,,
165,06/17/2025 16:48:00,5.57,,,,,
166,06/17/2025 16:49:00,5.53,,,,,
167,06/17/2025 16:50:00,5.53,,,,,
168,06/17/2025 16:51:00,5.53,,,,,
169,06/17/2025 16:52:00,5.49,,,,,
170,06/17/2025 16:53:00,5.53,,,,,
171,06/17/2025 16:54:00,5.49,,,,,
172,06/17/2025 16:55:00,5.49,,,,,
173,06/17/2025 16:56:00,5.53,,,,,
174,06/17/2025 16:57:00,5.53,,,,,
175,06/17/2025 16:58:00,5.53,,,,,
176,06/17/2025 16:59:00,5.57,,,,,
177,06/17/2025 17:00:00,5.53,,,,,
178,06/17/2025 17:01:00,5.53,,,,,
179,06/17/2025 17:02:00,5.53,,,,,
180,06/17/2025 17:03:00,5.57,,,,,
181,06/17/2025 17:04:00,5.53,,,,,
182,06/17/2025 17:05:00,5.53,,,,,
183,06/17/2025 17:06:00,5.57,,,,,
184,06/17/2025 17:07:00,5.62,,,,,
185,06/17/2025 17:08:00,5.70,,,,,
186,06/17/2025 17:09:00,5.70,,,,,
187,06/17/2025 17:10:00,5.62,,,,,
188,06/17/2025 17:11:00,5.62,,,,,
189,06/17/2025 17:12:00,5.57,,,,,
190,06/17/2025 17:13:00,5.57,,,,,
191,06/17/2025 17:14:00,5.53,,,,,
192,06/17/2025 17:15:00,5.53,,,,,
193,06/17/2025 17:16:00,5.57,,,,,
194,06/17/2025 17:17:00,5.45,,,,,
195,06/17/2025 17:18:00,5.45,,,,,
196,06/17/2025 17:19:00,5.40,,,,,
197,06/17/2025 17:20:00,5.32,,,,,
198,06/17/2025 17:21:00,5.36,,,,,
199,06/17/2025 17:22:00,5.36,,,,,
200,06/17/2025 17:23:00,5.32,,,,,
201,06/17/2025 17:24:00,5.36,,,,,
202,06/17/2025 17:25:00,5.32,,,,,
203,06/17/2025 17:26:00,5.32,,,,,
204,06/17/2025 17:27:00,5.36,,,,,
205,06/17/2025 17:28:00,5.36,,,,,
206,06/17/2025 17:29:00,5.45,,,,,
207,06/17/2025 17:30:00,5.45,,,,,
208,06/17/2025 17:31:00,5.49,,,,,
209,06/17/2025 17:32:00,5.49,,,,,
210,06/17/2025 17:33:00,5.53,,,,,
211,06/17/2025 17:34:00,5.53,,,,,
212,06/17/2025 17:35:00,5.53,,,,,
213,06/17/2025 17:36:00,5.53,,,,,
214,06/17/2025 17:37:00,5.57,,,,,
215,06/17/2025 17:38:00,5.62,,,,,
216,06/17/2025 17:39:00,5.70,,,,,
217,06/17/2025 17:40:00,5.79,,,,,
218,06/17/2025 17:41:00,5.75,,,,,
219,06/17/2025 17:42:00,5.70,,,,,
220,06/17/2025 17:43:00,5.66,,,,,
221,06/17/2025 17:44:00,5.66,,,,,
222,06/17/2025 17:45:00,5.70,,,,,
223,06/17/2025 17:46:00,5.70,,,,,
224,06/17/2025 17:47:00,5.66,,,,,
225,06/17/2025 17:48:00,5.75,,,,,
226,06/17/2025 17:49:00,5.70,,,,,
227,06/17/2025 17:50:00,5.70,,,,,
228,06/17/2025 17:51:00,5.70,,,,,
229,06/17/2025 17:52:00,5.70,,,,,
230,06/17/2025 17:53:00,5.70,,,,,
231,06/17/2025 17:54:00,5.66,,,,,
232,06/17/2025 17:55:00,5.70,,,,,
233,06/17/2025 17:56:00,5.70,,,,,
234,06/17/2025 17:57:00,5.62,,,,,
235,06/17/2025 17:58:00,5.66,,,,,
236,06/17/2025 17:59:00,5.62,,,,,
237,06/17/2025 18:00:00,5.66,,,,,
238,06/17/2025 18:01:00,5.83,,,,,
239,06/17/2025 18:02:00,5.92,,,,,
240,06/17/2025 18:03:00,5.92,,,,,
241,06/17/2025 18:04:00,6.05,,,,,
242,06/17/2025 18:05:00,6.00,,,,,
243,06/17/2025 18:06:00,6.05,,,,,
244,06/17/2025 18:07:00,6.00,,,,,
245,06/17/2025 18:08:00,6.00,,,,,
246,06/17/2025 18:09:00,6.00,,,,,
247,06/17/2025 18:10:00,6.00,,,,,
248,06/17/2025 18:11:00,5.96,,,,,
249,06/17/2025 18:12:00,5.87,,,,,
250,06/17/2025 18:13:00,5.83,,,,,
251,06/17/2025 18:14:00,5.83,,,,,
252,06/17/2025 18:15:00,5.83,,,,,
253,06/17/2025 18:16:00,5.83,,,,,
254,06/17/2025 18:17:00,5.83,,,,,
255,06/17/2025 18:18:00,5.92,,,,,
256,06/17/2025 18:19:00,5.92,,,,,
257,06/17/2025 18:20:00,5.96,,,,,
258,06/17/2025 18:21:00,6.09,,,,,
259,06/17/2025 18:22:00,6.22,,,,,
260,06/17/2025 18:23:00,6.22,,,,,
261,06/17/2025 18:24:00,6.30,,,,,
262,06/17/2025 18:25:00,6.35,,,,,
263,06/17/2025 18:26:00,6.30,,,,,
264,06/17/2025 18:27:00,6.30,,,,,
265,06/17/2025 18:28:00,6.26,,,,,
266,06/17/2025 18:29:00,6.26,,,,,
267,06/17/2025 18:30:00,6.30,,,,,
268,06/17/2025 18:31:00,6.26,,,,,
269,06/17/2025 18:32:00,6.26,,,,,
270,06/17/2025 18:33:00,6.22,,,,,
271,06/17/2025 18:34:00,6.17,,,,,
272,06/17/2025 18:35:00,6.13,,,,,
273,06/17/2025 18:36:00,6.05,,,,,
274,06/17/2025 18:37:00,6.00,,,,,
275,06/17/2025 18:38:00,5.92,,,,,
276,06/17/2025 18:39:00,5.92,,,,,
277,06/17/2025 18:40:00,5.92,,,,,
278,06/17/2025 18:41:00,5.87,,,,,
279,06/17/2025 18:42:00,5.92,,,,,
280,06/17/2025 18:43:00,5.87,,,,,
281,06/17/2025 18:44:00,5.92,,,,,
282,06/17/2025 18:45:00,5.87,,,,,
283,06/17/2025 18:46:00,5.87,,,,,
284,06/17/2025 18:47:00,5.87,,,,,
285,06/17/2025 18:48:00,5.83,,,,,
286,06/17/2025 18:49:00,5.87,,,,,
287,06/17/2025 18:50:00,5.79,,,,,
288,06/17/2025 18:51:00,5.66,,,,,
289,06/17/2025 18:52:00,5.57,,,,,
290,06/17/2025 18:53:00,5.40,,,,,
291,06/17/2025 18:54:00,5.27,,,,,
292,06/17/2025 18:55:00,5.23,,,,,
293,06/17/2025 18:56:00,5.10,,,,,
294,06/17/2025 18:57:00,5.06,,,,,
295,06/17/2025 18:58:00,4.93,,,,,
296,06/17/2025 18:59:00,4.97,,,,,
297,06/17/2025 19:00:00,4.89,,,,,
298,06/17/2025 19:01:00,4.89,,,,,
299,06/17/2025 19:02:00,4.89,,,,,
300,06/17/2025 19:03:00,4.97,,,,,
301,06/17/2025 19:04:00,5.19,,,,,
302,06/17/2025 19:05:00,5.40,,,,,
303,06/17/2025 19:06:00,5.49,,,,,
304,06/17/2025 19:07:00,5.66,,,,,
305,06/17/2025 19:08:00,5.79,,,,,
306,06/17/2025 19:09:00,5.87,,,,,
307,06/17/2025 19:10:00,5.87,,,,,
308,06/17/2025 19:11:00,5.96,,,,,
309,06/17/2025 19:12:00,5.83,,,,,
310,06/17/2025 19:13:00,5.70,,,,,
311,06/17/2025 19:14:00,5.66,,,,,
312,06/17/2025 19:15:00,5.62,,,,,
313,06/17/2025 19:16:00,5.66,,,,,
314,06/17/2025 19:17:00,5.66,,,,,
315,06/17/2025 19:18:00,5.66,,,,,
316,06/17/2025 19:19:00,5.62,,,,,
317,06/17/2025 19:20:00,5.62,,,,,
318,06/17/2025 19:21:00,5.57,,,,,
319,06/17/2025 19:22:00,5.66,,,,,
320,06/17/2025 19:23:00,5.75,,,,,
321,06/17/2025 19:24:00,5.70,,,,,
322,06/17/2025 19:25:00,5.62,,,,,
323,06/17/2025 19:26:00,5.53,,,,,
324,06/17/2025 19:27:00,5.49,,,,,
325,06/17/2025 19:28:00,5.49,,,,,
326,06/17/2025 19:29:00,5.53,,,,,
327,06/17/2025 19:30:00,5.62,,,,,
328,06/17/2025 19:31:00,5.66,,,,,
329,06/17/2025 19:32:00,5.70,,,,,
330,06/17/2025 19:33:00,5.79,,,,,
331,06/17/2025 19:34:00,5.87,,,,,
332,06/17/2025 19:35:00,6.00,,,,,
333,06/17/2025 19:36:00,6.05,,,,,
334,06/17/2025 19:37:00,6.13,,,,,
335,06/17/2025 19:38:00,6.17,,,,,
336,06/17/2025 19:39:00,6.17,,,,,
337,06/17/2025 19:40:00,6.17,,,,,
338,06/17/2025 19:41:00,6.17,,,,,
339,06/17/2025 19:42:00,6.13,,,,,
340,06/17/2025 19:43:00,6.09,,,,,
341,06/17/2025 19:44:00,6.17,,,,,
342,06/17/2025 19:45:00,6.13,,,,,
343,06/17/2025 19:46:00,6.09,,,,,
344,06/17/2025 19:47:00,6.05,,,,,
345,06/17/2025 19:48:00,6.09,,,,,
346,06/17/2025 19:49:00,6.00,,,,,
347,06/17/2025 19:50:00,6.00,,,,,
348,06/17/2025 19:51:00,5.96,,,,,
349,06/17/2025 19:52:00,5.87,,,,,
350,06/17/2025 19:53:00,5.96,,,,,
351,06/17/2025 19:54:00,6.09,,,,,
352,06/17/2025 19:55:00,6.17,,,,,
353,06/17/2025 19:56:00,6.22,,,,,
354,06/17/2025 19:57:00,6.26,,,,,
355,06/17/2025 19:58:00,6.35,,,,,
356,06/17/2025 19:59:00,6.30,,,,,
357,06/17/2025 20:00:00,6.22,,,,,
358,06/17/2025 20:01:00,6.09,,,,,
359,06/17/2025 20:02:00,6.00,,,,,
360,06/17/2025 20:03:00,5.96,,,,,
361,06/17/2025 20:04:00,6.00,,,,,
362,06/17/2025 20:05:00,6.00,,,,,
363,06/17/2025 20:06:00,6.13,,,,,
364,06/17/2025 20:07:00,6.09,,,,,
365,06/17/2025 20:08:00,6.09,,,,,
366,06/17/2025 20:09:00,6.13,,,,,
367,06/17/2025 20:10:00,6.09,,,,,
368,06/17/2025 20:11:00,6.09,,,,,
369,06/17/2025 20:12:00,6.17,,,,,
370,06/17/2025 20:13:00,6.13,,,,,
371,06/17/2025 20:14:00,6.00,,,,,
372,06/17/2025 20:15:00,6.00,,,,,
373,06/17/2025 20:16:00,5.96,,,,,
374,06/17/2025 20:17:00,6.00,,,,,
375,06/17/2025 20:18:00,5.92,,,,,
376,06/17/2025 20:19:00,5.70,,,,,
377,06/17/2025 20:20:00,5.57,,,,,
378,06/17/2025 20:21:00,5.49,,,,,
379,06/17/2025 20:22:00,5.40,,,,,
380,06/17/2025 20:23:00,5.23,,,,,
381,06/17/2025 20:24:00,5.23,,,,,
382,06/17/2025 20:25:00,5.19,,,,,
383,06/17/2025 20:26:00,5.10,,,,,
384,06/17/2025 20:27:00,4.97,,,,,
385,06/17/2025 20:28:00,4.89,,,,,
386,06/17/2025 20:29:00,4.93,,,,,
387,06/17/2025 20:30:00,4.89,,,,,
388,06/17/2025 20:31:00,4.76,,,,,
389,06/17/2025 20:32:00,4.80,,,,,
390,06/17/2025 20:33:00,4.84,,,,,
391,06/17/2025 20:34:00,4.84,,,,,
392,06/17/2025 20:35:00,4.89,,,,,
393,06/17/2025 20:36:00,5.06,,,,,
394,06/17/2025 20:37:00,5.36,,,,,
395,06/17/2025 20:38:00,5.57,,,,,
396,06/17/2025 20:39:00,5.75,,,,,
397,06/17/2025 20:40:00,5.92,,,,,
398,06/17/2025 20:41:00,5.92,,,,,
399,06/17/2025 20:42:00,5.96,,,,,
400,06/17/2025 20:43:00,5.96,,,,,
401,06/17/2025 20:44:00,6.05,,,,,
402,06/17/2025 20:45:00,5.96,,,,,
403,06/17/2025 20:46:00,5.96,,,,,
404,06/17/2025 20:47:00,6.00,,,,,
405,06/17/2025 20:48:00,6.00,,,,,
406,06/17/2025 20:49:00,6.05,,,,,
407,06/17/2025 20:50:00,6.13,,,,,
408,06/17/2025 20:51:00,6.13,,,,,
409,06/17/2025 20:52:00,6.30,,,,,
410,06/17/2025 20:53:00,6.26,,,,,
411,06/17/2025 20:54:00,6.39,,,,,
412,06/17/2025 20:55:00,6.52,,,,,
413,06/17/2025 20:56:00,6.60,,,,,
414,06/17/2025 20:57:00,6.52,,,,,
415,06/17/2025 20:58:00,6.56,,,,,
416,06/17/2025 20:59:00,6.60,,,,,
417,06/17/2025 21:00:00,6.73,,,,,
418,06/17/2025 21:01:00,6.78,,,,,
419,06/17/2025 21:02:00,6.90,,,,,
420,06/17/2025 21:03:00,7.08,,,,,
421,06/17/2025 21:04:00,7.12,,,,,
422,06/17/2025 21:05:00,7.20,,,,,
423,06/17/2025 21:06:00,7.20,,,,,
424,06/17/2025 21:07:00,7.12,,,,,
425,06/17/2025 21:08:00,7.16,,,,,
426,06/17/2025 21:09:00,7.12,,,,,
427,06/17/2025 21:10:00,7.03,,,,,
428,06/17/2025 21:11:00,6.90,,,,,
429,06/17/2025 21:12:00,6.82,,,,,
430,06/17/2025 21:13:00,6.60,,,,,
431,06/17/2025 21:14:00,6.43,,,,,
432,06/17/2025 21:15:00,6.35,,,,,
433,06/17/2025 21:16:00,6.17,,,,,
434,06/17/2025 21:17:00,6.09,,,,,
435,06/17/2025 21:18:00,6.09,,,,,
436,06/17/2025 21:19:00,6.09,,,,,
437,06/17/2025 21:20:00,6.13,,,,,
438,06/17/2025 21:21:00,6.13,,,,,
439,06/17/2025 21:22:00,6.17,,,,,
440,06/17/2025 21:23:00,6.13,,,,,
441,06/17/2025 21:24:00,6.13,,,,,
442,06/17/2025 21:25:00,6.22,,,,,
443,06/17/2025 21:26:00,6.22,,,,,
444,06/17/2025 21:27:00,6.30,,,,,
445,06/17/2025 21:28:00,6.43,,,,,
446,06/17/2025 21:29:00,6.43,,,,,
447,06/17/2025 21:30:00,6.43,,,,,
448,06/17/2025 21:31:00,6.35,,,,,
449,06/17/2025 21:32:00,6.09,,,,,
450,06/17/2025 21:33:00,5.92,,,,,
451,06/17/2025 21:34:00,6.00,,,,,
452,06/17/2025 21:35:00,5.96,,,,,
453,06/17/2025 21:36:00,5.87,,,,,
454,06/17/2025 21:37:00,5.66,,,,,
455,06/17/2025 21:38:00,5.57,,,,,
456,06/17/2025 21:39:00,5.40,,,,,
457,06/17/2025 21:40:00,5.27,,,,,
458,06/17/2025 21:41:00,5.06,,,,,
459,06/17/2025 21:42:00,4.89,,,,,
460,06/17/2025 21:43:00,4.89,,,,,
461,06/17/2025 21:44:00,5.02,,,,,
462,06/17/2025 21:45:00,5.10,,,,,
463,06/17/2025 21:46:00,5.06,,,,,
464,06/17/2025 21:47:00,5.06,,,,,
465,06/17/2025 21:48:00,5.06,,,,,
466,06/17/2025 21:49:00,5.10,,,,,
467,06/17/2025 21:50:00,5.10,,,,,
468,06/17/2025 21:51:00,5.15,,,,,
469,06/17/2025 21:52:00,5.36,,,,,
470,06/17/2025 21:53:00,5.53,,,,,
471,06/17/2025 21:54:00,5.62,,,,,
472,06/17/2025 21:55:00,5.75,,,,,
473,06/17/2025 21:56:00,5.57,,,,,
474,06/17/2025 21:57:00,5.49,,,,,
475,06/17/2025 21:58:00,5.53,,,,,
476,06/17/2025 21:59:00,5.49,,,,,
477,06/17/2025 22:00:00,5.32,,,,,
478,06/17/2025 22:01:00,5.15,,,,,
479,06/17/2025 22:02:00,5.19,,,,,
480,06/17/2025 22:03:00,5.15,,,,,
481,06/17/2025 22:04:00,5.10,,,,,
482,06/17/2025 22:05:00,5.15,,,,,
483,06/17/2025 22:06:00,5.19,,,,,
484,06/17/2025 22:07:00,5.27,,,,,
485,06/17/2025 22:08:00,5.27,,,,,
486,06/17/2025 22:09:00,5.32,,,,,
487,06/17/2025 22:10:00,5.23,,,,,
488,06/17/2025 22:11:00,5.32,,,,,
489,06/17/2025 22:12:00,5.49,,,,,
490,06/17/2025 22:13:00,5.49,,,,,
491,06/17/2025 22:14:00,5.62,,,,,
492,06/17/2025 22:15:00,5.66,,,,,
493,06/17/2025 22:16:00,5.66,,,,,
494,06/17/2025 22:17:00,5.75,,,,,
495,06/17/2025 22:18:00,5.66,,,,,
496,06/17/2025 22:19:00,5.57,,,,,
497,06/17/2025 22:20:00,5.62,,,,,
498,06/17/2025 22:21:00,5.53,,,,,
499,06/17/2025 22:22:00,5.45,,,,,
500,06/17/2025 22:23:00,5.32,,,,,
501,06/17/2025 22:24:00,5.27,,,,,
502,06/17/2025 22:25:00,5.36,,,,,
503,06/17/2025 22:26:00,5.40,,,,,
504,06/17/2025 22:27:00,5.45,,,,,
505,06/17/2025 22:28:00,5.53,,,,,
506,06/17/2025 22:29:00,5.53,,,,,
507,06/17/2025 22:30:00,5.53,,,,,
508,06/17/2025 22:31:00,5.57,,,,,
509,06/17/2025 22:32:00,5.57,,,,,
510,06/17/2025 22:33:00,5.53,,,,,
511,06/17/2025 22:34:00,5.57,,,,,
512,06/17/2025 22:35:00,5.57,,,,,
513,06/17/2025 22:36:00,5.40,,,,,
514,06/17/2025 22:37:00,5.23,,,,,
515,06/17/2025 22:38:00,5.19,,,,,
516,06/17/2025 22:39:00,5.15,,,,,
517,06/17/2025 22:40:00,5.23,,,,,
518,06/17/2025 22:41:00,5.15,,,,,
519,06/17/2025 22:42:00,5.10,,,,,
520,06/17/2025 22:43:00,5.02,,,,,
521,06/17/2025 22:44:00,4.93,,,,,
522,06/17/2025 22:45:00,4.84,,,,,
523,06/17/2025 22:46:00,4.80,,,,,
524,06/17/2025 22:47:00,4.89,,,,,
525,06/17/2025 22:48:00,4.93,,,,,
526,06/17/2025 22:49:00,5.02,,,,,
527,06/17/2025 22:50:00,5.06,,,,,
528,06/17/2025 22:51:00,4.97,,,,,
529,06/17/2025 22:52:00,4.93,,,,,
530,06/17/2025 22:53:00,4.84,,,,,
531,06/17/2025 22:54:00,4.76,,,,,
532,06/17/2025 22:55:00,4.76,,,,,
533,06/17/2025 22:56:00,4.72,,,,,
534,06/17/2025 22:57:00,4.76,,,,,
535,06/17/2025 22:58:00,4.80,,,,,
536,06/17/2025 22:59:00,4.84,,,,,
537,06/17/2025 23:00:00,4.84,,,,,
538,06/17/2025 23:01:00,4.84,,,,,
539,06/17/2025 23:02:00,4.89,,,,,
540,06/17/2025 23:03:00,4.80,,,,,
541,06/17/2025 23:04:00,4.72,,,,,
542,06/17/2025 23:05:00,4.72,,,,,
543,06/17/2025 23:06:00,4.63,,,,,
544,06/17/2025 23:07:00,4.54,,,,,
545,06/17/2025 23:08:00,4.42,,,,,
546,06/17/2025 23:09:00,4.46,,,,,
547,06/17/2025 23:10:00,4.50,,,,,
548,06/17/2025 23:11:00,4.50,,,,,
549,06/17/2025 23:12:00,4.37,,,,,
550,06/17/2025 23:13:00,4.37,,,,,
551,06/17/2025 23:14:00,4.42,,,,,
552,06/17/2025 23:15:00,4.33,,,,,
553,06/17/2025 23:16:00,4.54,,,,,
554,06/17/2025 23:17:00,4.84,,,,,
555,06/17/2025 23:18:00,5.02,,,,,
556,06/17/2025 23:19:00,4.97,,,,,
557,06/17/2025 23:20:00,5.10,,,,,
558,06/17/2025 23:21:00,5.19,,,,,
559,06/17/2025 23:22:00,5.06,,,,,
560,06/17/2025 23:23:00,5.02,,,,,
561,06/17/2025 23:24:00,4.93,,,,,
562,06/17/2025 23:25:00,4.80,,,,,
563,06/17/2025 23:26:00,4.76,,,,,
564,06/17/2025 23:27:00,4.76,,,,,
565,06/17/2025 23:28:00,4.84,,,,,
566,06/17/2025 23:29:00,4.80,,,,,
567,06/17/2025 23:30:00,4.76,,,,,
568,06/17/2025 23:31:00,4.84,,,,,
569,06/17/2025 23:32:00,4.67,,,,,
570,06/17/2025 23:33:00,4.72,,,,,
571,06/17/2025 23:34:00,4.67,,,,,
572,06/17/2025 23:35:00,4.54,,,,,
573,06/17/2025 23:36:00,4.33,,,,,
574,06/17/2025 23:37:00,4.20,,,,,
575,06/17/2025 23:38:00,4.07,,,,,
576,06/17/2025 23:39:00,4.03,,,,,
577,06/17/2025 23:40:00,4.07,,,,,
578,06/17/2025 23:41:00,4.29,,,,,
579,06/17/2025 23:42:00,4.37,,,,,
