Plot,Title:,10700599,,,,
62,6/12/22,4:15,66,65.701,66.065,56.132
63,6/12/22,4:30,65.959,65.615,66.007,56.089
64,6/12/22,4:45,65.872,65.53,65.93,56.071
65,6/12/22,5:00,65.788,65.487,65.863,56.123
66,6/12/22,5:15,65.745,65.403,65.809,56.211
67,6/12/22,5:30,65.658,65.359,65.757,56.298
68,6/12/22,5:45,65.615,65.316,65.709,56.141
69,6/12/22,6:00,65.53,65.23,65.64,56.158
70,6/12/22,6:15,65.444,65.145,65.574,56.167
71,6/12/22,6:30,65.403,65.102,65.52,56.081
72,6/12/22,6:45,65.359,65.102,65.473,56.213
73,6/12/22,7:00,65.316,65.059,65.433,56.268
74,6/12/22,7:15,65.316,65.017,65.385,56.432
75,6/12/22,7:30,65.359,65.102,65.367,56.571
76,6/12/22,7:45,65.359,65.102,65.356,56.866
77,6/12/22,8:00,65.53,65.23,65.356,56.887
78,6/12/22,8:15,65.701,65.23,65.356,57.133
79,6/12/22,8:30,66.087,65.658,65.453,57.549
80,6/12/22,8:45,66.13,65.701,64.762,59.776
81,6/12/22,9:00,65.273,65.017,63.725,61.819
82,6/12/22,9:15,64.888,64.632,63.59,62.071
83,6/12/22,9:30,64.459,64.332,63.513,62.547
84,6/12/22,9:45,64.418,64.204,63.464,62.881
85,6/12/22,10:00,64.375,64.161,63.432,62.818
86,6/12/22,10:15,64.332,64.117,63.387,62.879
87,6/12/22,10:30,64.247,64.033,63.358,62.585
88,6/12/22,10:45,63.176,63.775,63.156,62.248
89,6/12/22,11:00,63.561,63.561,63.171,62.509
90,6/12/22,11:15,63.862,63.732,63.208,62.315
91,6/12/22,11:30,63.903,63.732,63.208,62.158
92,6/12/22,11:45,63.99,63.775,63.208,61.91
93,6/12/22,12:00,64.033,63.775,63.228,61.82
94,6/12/22,12:15,64.033,63.775,63.243,62.933
95,6/12/22,12:30,64.074,63.819,63.306,68.493
96,6/12/22,12:45,64.033,63.862,63.28,70.059
97,6/12/22,13:00,64.074,63.862,63.228,69.071
98,6/12/22,13:15,63.946,63.819,63.194,68.254
99,6/12/22,13:30,63.946,63.775,63.156,67.506
100,6/12/22,13:45,63.99,63.732,63.117,65.73
101,6/12/22,14:00,63.903,63.689,63.099,65.362
102,6/12/22,14:15,63.946,63.689,63.117,65.026
103,6/12/22,14:30,63.99,63.689,63.117,64.692
104,6/12/22,14:45,63.518,63.604,62.933,64.092
105,6/12/22,15:00,63.604,63.518,62.953,63.38
106,6/12/22,15:15,63.732,63.518,62.947,62.785
107,6/12/22,15:30,63.518,63.433,62.852,62.341
108,6/12/22,15:45,63.518,63.219,62.861,62.341
109,6/12/22,16:00,63.604,63.304,62.947,62.033
110,6/12/22,16:15,63.604,63.347,62.978,61.759
111,6/12/22,16:30,63.648,63.39,62.992,61.358
112,6/12/22,16:45,63.648,63.39,62.996,61.129
113,6/12/22,17:00,63.648,63.39,63.007,61.038
114,6/12/22,17:15,63.648,63.39,63.007,60.832
115,6/12/22,17:30,63.648,63.39,62.982,60.63
116,6/12/22,17:45,63.518,63.347,62.915,60.755
117,6/12/22,18:00,63.561,63.304,62.953,60.801
118,6/12/22,18:15,63.561,63.304,62.962,60.897
119,6/12/22,18:30,63.561,63.347,62.973,60.969
120,6/12/22,18:45,63.604,63.347,62.967,61.228
121,6/12/22,19:00,63.604,63.347,62.978,61.331
122,6/12/22,19:15,63.604,63.39,62.982,61.624
123,6/12/22,19:30,63.689,63.39,63.007,62.283
124,6/12/22,19:45,63.689,63.433,63.007,62.396
125,6/12/22,20:00,63.648,63.433,63.001,62.367
126,6/12/22,20:15,63.604,63.39,63.01,63.987
127,6/12/22,20:30,63.689,63.433,63.039,65.772
128,6/12/22,20:45,63.732,63.475,63.021,65.051
129,6/12/22,21:00,63.775,63.518,63.021,64.991
130,6/12/22,21:15,63.819,63.518,63.05,65.263
131,6/12/22,21:30,63.732,63.518,63.01,65.498
132,6/12/22,21:45,63.775,63.518,63.025,65.391
133,6/12/22,22:00,63.819,63.561,63.039,65.916
134,6/12/22,22:15,63.819,63.561,63.03,66.04
135,6/12/22,22:30,63.819,63.561,63.039,66.133
136,6/12/22,22:45,63.775,63.561,63.036,66.259
137,6/12/22,23:00,63.775,63.518,63.03,66.014
138,6/12/22,23:15,63.862,63.561,63.05,66.018
139,6/12/22,23:30,63.862,63.561,63.05,65.83
140,6/12/22,23:45,63.862,63.561,63.045,65.602
141,6/13/22,0:00,63.862,63.604,63.045,65.353
142,6/13/22,0:15,63.903,63.604,63.039,64.819
143,6/13/22,0:30,63.903,63.604,63.036,64.179
144,6/13/22,0:45,63.862,63.561,63.025,63.783
145,6/13/22,1:00,63.819,63.561,63.03,63.552
146,6/13/22,1:15,63.819,63.561,63.016,63.276
147,6/13/22,1:30,63.775,63.518,63.007,62.988
148,6/13/22,1:45,63.732,63.475,62.996,62.773
149,6/13/22,2:00,63.689,63.475,62.978,62.557
150,6/13/22,2:15,63.648,63.433,62.967,62.502
151,6/13/22,2:30,63.604,63.39,62.958,62.467
152,6/13/22,2:45,63.561,63.347,62.944,62.399
153,6/13/22,3:00,63.561,63.347,62.924,62.286
154,6/13/22,3:15,63.518,63.304,62.91,62.153
155,6/13/22,3:30,63.475,63.262,62.895,62.191
156,6/13/22,3:45,63.433,63.219,62.886,62.213
157,6/13/22,4:00,63.39,63.219,62.872,62.254
158,6/13/22,4:15,63.39,63.176,62.857,62.382
159,6/13/22,4:30,63.347,63.133,62.847,62.353
160,6/13/22,4:45,63.304,63.133,62.827,62.379
161,6/13/22,5:00,63.262,63.09,62.818,62.387
162,6/13/22,5:15,63.262,63.048,62.803,62.405
163,6/13/22,5:30,63.219,63.048,62.789,62.448
164,6/13/22,5:45,63.219,63.005,62.78,62.518
165,6/13/22,6:00,63.219,63.005,62.769,62.626
166,6/13/22,6:15,63.176,63.005,62.76,62.734
167,6/13/22,6:30,63.176,62.962,62.755,62.806
168,6/13/22,6:45,63.133,62.962,62.735,62.875
169,6/13/22,7:00,63.133,62.919,62.731,62.893
170,6/13/22,7:15,63.133,62.919,62.726,62.942
171,6/13/22,7:30,63.09,62.919,62.721,63.064
172,6/13/22,7:45,62.962,62.834,62.49,62.745
173,6/13/22,8:00,63.005,62.791,62.427,63.798
174,6/13/22,8:15,63.048,62.834,62.614,63.854
175,6/13/22,8:30,63.09,62.875,62.692,64.337
176,6/13/22,8:45,63.176,62.919,62.697,64.625
177,6/13/22,9:00,63.133,62.875,62.451,64.869
178,6/13/22,9:15,63.133,62.875,62.64,64.198
179,6/13/22,9:30,63.133,62.875,62.629,65.339
180,6/13/22,9:45,63.176,62.919,62.677,65.646
181,6/13/22,10:00,63.219,63.005,62.784,65.472
182,6/13/22,10:15,63.304,63.09,62.823,66.557
183,6/13/22,10:30,63.347,63.09,62.78,67.161
184,6/13/22,10:45,63.262,62.791,62.181,66.909
185,6/13/22,11:00,64.247,64.332,65.217,66.705
186,6/13/22,11:15,65.273,64.888,65.766,61.855
187,6/13/22,11:30,64.888,64.589,65.034,62.579
188,6/13/22,11:45,64.674,64.459,64.81,62.62
189,6/13/22,12:00,64.76,64.459,64.758,61.839
190,6/13/22,12:15,64.674,64.418,64.647,61.382
191,6/13/22,12:30,64.546,64.375,64.551,61.158
192,6/13/22,12:45,64.418,64.332,64.463,61.001
193,6/13/22,13:00,64.332,64.288,64.377,60.882
194,6/13/22,13:15,64.247,64.204,64.294,60.79
195,6/13/22,13:30,64.161,64.161,64.204,60.714
196,6/13/22,13:45,64.117,64.117,64.126,60.655
197,6/13/22,14:00,64.033,64.074,64.053,60.603
198,6/13/22,14:15,63.99,64.033,63.991,60.603
199,6/13/22,14:30,63.99,63.99,63.943,60.578
200,6/13/22,14:45,63.903,63.946,63.889,60.502
201,6/13/22,15:00,63.862,63.903,63.851,60.446
202,6/13/22,15:15,63.819,63.862,63.802,60.398
203,6/13/22,15:30,63.775,63.819,63.768,60.354
204,6/13/22,15:45,63.732,63.819,63.73,60.307
205,6/13/22,16:00,63.689,63.775,63.691,60.266
206,6/13/22,16:15,63.648,63.732,63.658,60.224
207,6/13/22,16:30,63.604,63.689,63.667,60.536
208,6/13/22,16:45,64.503,63.99,64.348,64.211
209,6/13/22,17:00,63.946,63.862,64.063,63.287
210,6/13/22,17:15,63.862,63.775,63.923,63.182
211,6/13/22,17:30,64.161,63.946,64.107,65.209
212,6/13/22,17:45,64.332,64.117,64.17,64.083
213,6/13/22,18:00,64.375,64.161,64.179,63.726
214,6/13/22,18:15,64.459,64.247,64.308,63.729
215,6/13/22,18:30,64.589,64.418,64.641,63.781
216,6/13/22,18:45,64.717,64.589,64.825,63.485
217,6/13/22,19:00,64.803,64.717,64.908,63.261
218,6/13/22,19:15,64.845,64.76,64.945,63.104
219,6/13/22,19:30,64.888,64.803,64.971,62.988
220,6/13/22,19:45,64.931,64.845,64.994,62.901
221,6/13/22,20:00,64.974,64.888,65.008,62.835
222,6/13/22,20:15,64.974,64.888,65.034,62.78
223,6/13/22,20:30,65.017,64.931,65.052,62.739
224,6/13/22,20:45,65.017,65.017,65.08,62.707
225,6/13/22,21:00,65.059,65.059,65.12,62.678
226,6/13/22,21:15,65.102,65.102,65.149,62.652
227,6/13/22,21:30,65.145,65.145,65.192,62.621
228,6/13/22,21:45,65.188,65.145,65.221,62.593
229,6/13/22,22:00,65.188,65.188,65.235,62.551
230,6/13/22,22:15,65.23,65.188,65.255,62.512
231,6/13/22,22:30,65.23,65.188,65.264,62.475
232,6/13/22,22:45,65.273,65.188,65.284,62.452
233,6/13/22,23:00,65.273,65.188,65.298,62.428
234,6/13/22,23:15,65.273,65.188,65.307,62.394
235,6/13/22,23:30,65.273,65.145,65.313,62.354
236,6/13/22,23:45,65.273,65.145,65.304,62.327
237,6/14/22,0:00,65.23,65.102,65.307,62.307
238,6/14/22,0:15,65.23,65.059,65.313,62.29
239,6/14/22,0:30,65.23,65.059,65.307,62.274
240,6/14/22,0:45,65.188,65.059,65.318,62.26
241,6/14/22,1:00,65.188,65.017,65.313,62.242
242,6/14/22,1:15,65.188,65.017,65.313,62.226
243,6/14/22,1:30,65.145,64.974,65.307,62.211
244,6/14/22,1:45,65.145,64.974,65.304,62.191
245,6/14/22,2:00,65.102,64.931,65.289,62.174
246,6/14/22,2:15,65.102,64.888,65.269,62.153
247,6/14/22,2:30,65.059,64.845,65.25,62.132
248,6/14/22,2:45,65.017,64.803,65.232,62.109
249,6/14/22,3:00,64.974,64.76,65.197,62.086
250,6/14/22,3:15,64.974,64.717,65.158,62.065
251,6/14/22,3:30,64.931,64.632,65.129,62.042
252,6/14/22,3:45,64.845,64.589,65.086,62.017
253,6/14/22,4:00,64.803,64.546,65.037,62
254,6/14/22,4:15,64.76,64.503,64.994,61.978
255,6/14/22,4:30,64.717,64.418,64.942,61.956
256,6/14/22,4:45,64.674,64.375,64.893,61.938
257,6/14/22,5:00,64.632,64.332,64.836,61.918
258,6/14/22,5:15,64.546,64.247,64.782,61.9
259,6/14/22,5:30,64.503,64.204,64.719,61.862
260,6/14/22,5:45,64.459,64.117,64.647,61.83
261,6/14/22,6:00,64.375,64.074,64.584,61.811
262,6/14/22,6:15,64.332,64.033,64.521,61.801
263,6/14/22,6:30,64.288,63.99,64.468,61.782
264,6/14/22,6:45,64.247,63.946,64.42,61.785
265,6/14/22,7:00,64.204,63.946,64.396,61.787
266,6/14/22,7:15,64.161,63.862,64.353,61.75
267,6/14/22,7:30,64.074,63.433,64.247,61.663
268,6/14/22,7:45,63.862,63.09,64.098,61.585
269,6/14/22,8:00,63.732,63.048,63.937,61.529
270,6/14/22,8:15,63.648,62.919,63.788,61.422
271,6/14/22,8:30,63.475,62.362,63.595,61.25
272,6/14/22,8:45,63.219,61.677,63.325,61.079
273,6/14/22,9:00,62.919,60.948,62.967,60.861
274,6/14/22,9:15,62.577,60.303,62.611,60.76
275,6/14/22,9:30,62.233,59.702,62.195,60.583
276,6/14/22,9:45,61.848,59.056,61.776,60.522
277,6/14/22,10:00,61.462,58.541,61.345,60.438
278,6/14/22,10:15,61.075,58.066,60.874,60.369
279,6/14/22,10:30,60.69,57.636,60.435,60.331
280,6/14/22,10:45,60.303,57.29,60.028,60.121
281,6/14/22,11:00,59.873,56.944,59.56,60.127
282,6/14/22,11:15,59.529,56.858,59.126,59.997
283,6/14/22,11:30,59.272,56.815,58.721,59.921
284,6/14/22,11:45,58.885,56.165,58.32,59.757
285,6/14/22,12:00,58.325,55.256,57.866,59.619
286,6/14/22,12:15,57.722,54.387,57.349,59.532
287,6/14/22,12:30,57.16,53.69,56.809,59.515
288,6/14/22,12:45,56.599,52.992,56.235,59.28
289,6/14/22,13:00,56.035,52.291,55.672,59.272
290,6/14/22,13:15,55.429,51.809,55.081,59.229
291,6/14/22,13:30,54.952,51.413,54.532,59.226
292,6/14/22,13:45,54.473,51.062,54.01,59.237
293,6/14/22,14:00,54.082,50.929,53.542,59.19
294,6/14/22,14:15,53.82,50.886,53.123,59.203
295,6/14/22,14:30,53.472,50.576,52.785,59.236
296,6/14/22,14:45,53.035,49.914,52.38,59.112
297,6/14/22,15:00,52.554,49.249,51.931,59.1
298,6/14/22,15:15,52.16,48.938,51.467,59.084
299,6/14/22,15:30,51.852,48.85,51.053,59.075
300,6/14/22,15:45,51.589,48.717,50.662,58.996
301,6/14/22,16:00,51.413,48.938,50.31,58.952
302,6/14/22,16:15,50.4,48.36,48.697,67.782
303,6/14/22,16:30,48.36,46.616,46.459,78.125
304,6/14/22,16:45,47.871,46.436,46.222,79.199
305,6/14/22,17:00,47.602,46.481,46.141,80.098
306,6/14/22,17:15,47.334,46.391,46.058,79.716
307,6/14/22,17:30,47.109,46.211,45.972,79.969
308,6/14/22,17:45,46.974,46.121,45.914,80.014
309,6/14/22,18:00,46.841,46.121,45.865,79.878
310,6/14/22,18:15,46.391,45.669,45.567,77.983
311,6/14/22,18:30,45.986,45.217,45.372,78.134
312,6/14/22,18:45,45.941,45.217,45.392,78.939
313,6/14/22,19:00,45.761,45.082,45.237,78.17
314,6/14/22,19:15,45.354,44.627,44.881,77.145
315,6/14/22,19:30,45.172,44.4,44.76,77.028
316,6/14/22,19:45,44.991,44.218,44.677,76.979
317,6/14/22,20:00,44.856,44.127,44.586,77.07
318,6/14/22,20:15,44.719,43.945,44.431,76.664
319,6/14/22,20:30,44.355,43.624,44.026,75.952
320,6/14/22,20:45,44.173,43.443,43.968,76.378
321,6/14/22,21:00,43.99,43.259,43.795,76.155
322,6/14/22,21:15,43.808,43.122,43.684,76.027
323,6/14/22,21:30,43.9,43.03,43.095,75.616
324,6/14/22,21:45,42.433,41.787,41.029,78.627
325,6/14/22,22:00,42.064,41.648,40.937,78.512
326,6/14/22,22:15,42.017,41.787,41.212,78.21
327,6/14/22,22:30,42.202,41.97,41.387,78.025
328,6/14/22,22:45,42.156,41.97,41.175,78.52
329,6/14/22,23:00,41.925,41.693,40.759,78.459
330,6/14/22,23:15,41.508,41.277,40.287,78.566
331,6/14/22,23:30,41.137,40.858,39.866,78.454
332,6/14/22,23:45,40.811,40.485,39.524,78.3
333,6/15/22,0:00,40.579,40.251,39.331,78.134
334,6/15/22,0:15,40.345,40.017,39.148,78.572
335,6/15/22,0:30,40.111,39.736,38.921,79.002
336,6/15/22,0:45,39.877,39.549,38.737,78.738
337,6/15/22,1:00,39.643,39.313,38.525,78.868
338,6/15/22,1:15,39.502,39.124,38.385,78.294
339,6/15/22,1:30,39.313,38.937,38.169,77.977
340,6/15/22,1:45,39.173,38.748,38.034,77.739
341,6/15/22,2:00,39.031,38.557,37.845,77.71
342,6/15/22,2:15,38.842,38.415,37.684,77.781
343,6/15/22,2:30,38.7,38.226,37.526,77.848
344,6/15/22,2:45,38.511,38.084,37.377,77.94
345,6/15/22,3:00,38.322,37.893,37.179,77.969
346,6/15/22,3:15,38.084,37.656,36.966,78.924
347,6/15/22,3:30,37.893,37.465,36.811,79.536
348,6/15/22,3:45,37.751,37.369,36.73,79.763
349,6/15/22,4:00,37.656,37.274,36.648,80.217
350,6/15/22,4:15,37.609,37.225,36.642,80.005
351,6/15/22,4:30,37.609,37.225,36.639,80.409
352,6/15/22,4:45,37.751,37.369,36.831,80.739
353,6/15/22,5:00,37.893,37.656,37.207,80.679
354,6/15/22,5:15,38.179,37.989,37.71,80.383
355,6/15/22,5:30,38.511,38.415,38.197,80.621
356,6/15/22,5:45,38.889,38.984,38.723,81.152
357,6/15/22,6:00,39.267,39.549,39.283,82.353
358,6/15/22,6:15,39.783,40.158,39.909,83.401
359,6/15/22,6:30,40.345,40.719,40.474,83.687
360,6/15/22,6:45,40.905,41.23,40.968,84.094
361,6/15/22,7:00,41.463,41.97,41.545,84.483
362,6/15/22,7:15,42.017,42.433,42.116,84.401
363,6/15/22,7:30,42.433,42.755,42.404,82.66
364,6/15/22,7:45,42.892,43.167,42.714,82.794
365,6/15/22,8:00,43.579,43.99,43.477,83.604
366,6/15/22,8:15,44.127,44.4,43.767,81.36
367,6/15/22,8:30,44.173,44.4,43.79,83.009
368,6/15/22,8:45,44.173,44.263,43.572,79.76
369,6/15/22,9:00,44.127,44.127,43.403,79.869
370,6/15/22,9:15,44.127,44.082,43.313,77.188
371,6/15/22,9:30,44.082,44.037,43.273,77.649
372,6/15/22,9:45,44.173,44.218,43.423,78.131
373,6/15/22,10:00,44.445,44.537,43.795,78.827
374,6/15/22,10:15,44.537,44.537,43.563,75.732
375,6/15/22,10:30,44.537,44.355,43.534,74.697
376,6/15/22,10:45,44.445,44.355,43.124,73.82
377,6/15/22,11:00,44.445,44.4,43.187,74.226
378,6/15/22,11:15,44.674,44.627,43.371,73.825
379,6/15/22,11:30,44.809,44.809,43.549,74.73
380,6/15/22,11:45,45.307,45.399,44.244,76.194
381,6/15/22,12:00,45.579,45.624,44.238,74.043
382,6/15/22,12:15,46.166,46.256,45.194,74.108
383,6/15/22,12:30,46.796,46.796,45.783,73.532
384,6/15/22,12:45,47.154,49.516,45.99,73.886
385,6/15/22,13:00,58.066,65.745,68.878,42.635
386,6/15/22,13:15,55.038,62.447,55.058,45.307
387,6/15/22,13:30,52.029,68.698,48.036,52.424
388,6/15/22,13:45,50.664,69.985,46.821,53.03
389,6/15/22,14:00,51.458,70.974,47.617,51.774
390,6/15/22,14:15,51.809,70.93,48.229,49.787
391,6/15/22,14:30,52.029,71.577,48.331,49.911
392,6/15/22,14:45,52.029,72.178,47.815,50.098
393,6/15/22,15:00,52.597,71.231,48.562,48.505
394,6/15/22,15:15,51.544,68.185,48.027,49.314
395,6/15/22,15:30,52.641,68.356,49.354,47.79
396,6/15/22,15:45,52.335,68.142,48.909,48.977
397,6/15/22,16:00,53.166,71.577,49.914,46.111
398,6/15/22,16:15,53.82,77.639,50.266,45.35
399,6/15/22,16:30,53.078,78.427,49.905,45.618
400,6/15/22,16:45,52.246,73.342,48.789,47.591
401,6/15/22,17:00,52.597,71.103,49.136,47.944
402,6/15/22,17:15,52.335,65.916,48.837,48.882
403,6/15/22,17:30,52.597,63.09,48.765,48.194
404,6/15/22,17:45,52.246,65.615,48.799,48.237
405,6/15/22,18:00,50.621,61.761,47.545,51.424
406,6/15/22,18:15,50.488,59.916,47.545,53.024
407,6/15/22,18:30,51.282,60.26,48.177,52.863
408,6/15/22,18:45,53.035,61.848,49.923,50.861
409,6/15/22,19:00,51.764,63.819,49.219,51.473
410,6/15/22,19:15,51.501,60.217,48.688,52.103
411,6/15/22,19:30,50.092,57.592,47.669,53.535
412,6/15/22,19:45,48.85,54.43,46.704,55.422
413,6/15/22,20:00,48.493,53.166,46.526,56.112
414,6/15/22,20:15,48.049,52.072,46.362,56.17
415,6/15/22,20:30,47.334,50.356,45.975,57.842
416,6/15/22,20:45,47.334,49.428,46.207,57.815
417,6/15/22,21:00,46.796,48.717,45.903,58.819
418,6/15/22,21:15,46.391,47.826,45.759,59.533
419,6/15/22,21:30,45.851,46.526,45.527,60.224
420,6/15/22,21:45,44.856,44.991,44.749,62.057
421,6/15/22,22:00,44.31,43.9,44.447,62.827
422,6/15/22,22:15,44.037,43.122,44.267,63.392
423,6/15/22,22:30,44.127,42.939,44.456,62.759
424,6/15/22,22:45,43.853,42.708,44.204,63.488
425,6/15/22,23:00,44.127,42.755,44.476,63.062
426,6/15/22,23:15,44.127,42.616,44.451,63.226
427,6/15/22,23:30,43.9,42.478,44.267,63.626
428,6/15/22,23:45,44.355,42.8,44.706,63.001
429,6/16/22,0:00,44.082,42.57,44.384,63.519
430,6/16/22,0:15,43.945,42.386,44.229,63.78
431,6/16/22,0:30,43.853,42.247,44.181,63.755
432,6/16/22,0:45,43.763,42.109,44.1,63.926
433,6/16/22,1:00,43.808,42.156,44.128,63.803
434,6/16/22,1:15,43.579,42.017,43.902,64.16
435,6/16/22,1:30,43.579,41.925,43.925,63.944
436,6/16/22,1:45,43.214,41.601,43.509,64.741
437,6/16/22,2:00,43.488,41.787,43.833,63.897
438,6/16/22,2:15,43.122,41.601,43.403,64.707
439,6/16/22,2:30,43.396,41.787,43.727,63.906
440,6/16/22,2:45,43.396,41.74,43.606,64.187
441,6/16/22,3:00,43.9,42.017,44.1,63.09
442,6/16/22,3:15,43.306,41.508,43.65,63.731
443,6/16/22,3:30,43.488,41.601,43.65,64.022
444,6/16/22,3:45,43.99,42.109,44.224,62.748
445,6/16/22,4:00,44.31,42.525,44.553,61.984
446,6/16/22,4:15,43.9,42.017,44.06,62.905
447,6/16/22,4:30,44.582,42.247,44.568,61.762
448,6/16/22,4:45,44.719,42.294,44.451,61.892
449,6/16/22,5:00,45.217,42.57,44.683,61.521
450,6/16/22,5:15,45.354,42.57,44.523,61.785
451,6/16/22,5:30,45.941,43.03,44.938,60.917
452,6/16/22,5:45,46.031,43.075,44.794,61.271
453,6/16/22,6:00,45.941,43.167,44.649,61.489
454,6/16/22,6:15,47.377,44.492,45.928,59.303
455,6/16/22,6:30,48.182,45.172,46.704,57.908
456,6/16/22,6:45,48.805,46.076,47.39,56.469
457,6/16/22,7:00,48.36,50.002,46.762,57.595
458,6/16/22,7:15,48.493,50.621,46.83,57.604
459,6/16/22,7:30,47.467,49.471,45.691,59.597
460,6/16/22,7:45,48.227,50.709,46.261,58.618
461,6/16/22,8:00,48.049,50.797,45.937,59.225
462,6/16/22,8:15,49.249,52.16,47.304,56.822
463,6/16/22,8:30,49.825,53.427,47.795,55.845
464,6/16/22,8:45,50.664,54.777,48.668,54.047
465,6/16/22,9:00,50.886,55.992,48.538,54.586
466,6/16/22,9:15,50.797,56.251,48.148,55.399
467,6/16/22,9:30,51.413,57.807,48.992,53.907
468,6/16/22,9:45,51.721,58.282,48.819,54.443
469,6/16/22,10:00,51.325,58.626,47.993,55.83
470,6/16/22,10:15,52.029,59.529,49.055,53.892
471,6/16/22,10:30,53.166,61.547,50.212,51.931
472,6/16/22,10:45,52.554,62.062,49.21,53.542
473,6/16/22,11:00,53.166,62.276,49.503,53.475
474,6/16/22,11:15,53.69,62.834,50.976,50.787
475,6/16/22,11:30,53.733,62.875,51.332,50.011
476,6/16/22,11:45,54.3,64.074,51.82,49.113
477,6/16/22,12:00,54.516,64.845,51.496,50.291
478,6/16/22,12:15,53.908,63.648,51.102,50.854
479,6/16/22,12:30,53.298,62.62,50.445,52.02
480,6/16/22,12:45,53.035,61.633,50.353,52.427
481,6/16/22,13:00,53.298,62.148,50.614,52.37
482,6/16/22,13:15,53.776,62.533,51.145,51.412
483,6/16/22,13:30,53.733,63.946,51.145,51.673
484,6/16/22,13:45,53.253,62.49,50.695,52.432
485,6/16/22,14:00,53.69,64.033,51.053,51.821
486,6/16/22,14:15,53.384,63.99,50.754,52.078
487,6/16/22,14:30,53.035,63.219,50.223,53.626
488,6/16/22,14:45,54.212,65.145,51.174,52.486
489,6/16/22,15:00,54.648,65.829,51.602,51.884
490,6/16/22,15:15,56.079,68.056,52.882,50.06
491,6/16/22,15:30,57.031,69.557,53.659,49.078
492,6/16/22,15:45,57.807,71.834,54.349,48.067
493,6/16/22,16:00,57.42,71.017,54.064,48.234
494,6/16/22,16:15,57.636,72.955,54.3,48.058
495,6/16/22,16:30,58.411,73.256,55.015,47.08
496,6/16/22,16:45,57.031,69.728,54.099,48.248
