#,Date-Time (PDT),Temperature   (°C),Started,Host Connected,Button Down,Button Up,End of File
69,05/14/2025 13:14:00,1.54,,,,,
70,05/14/2025 13:14:30,1.54,,,,,
71,05/14/2025 13:15:00,1.54,,,,,
72,05/14/2025 13:15:30,1.54,,,,,
73,05/14/2025 13:16:00,1.67,,,,,
74,05/14/2025 13:16:30,1.54,,,,,
75,05/14/2025 13:17:00,1.54,,,,,
76,05/14/2025 13:17:30,1.63,,,,,
77,05/14/2025 13:18:00,1.63,,,,,
78,05/14/2025 13:18:30,1.63,,,,,
79,05/14/2025 13:19:00,1.63,,,,,
80,05/14/2025 13:19:30,1.58,,,,,
81,05/14/2025 13:20:00,1.67,,,,,
82,05/14/2025 13:20:30,1.63,,,,,
83,05/14/2025 13:21:00,1.63,,,,,
84,05/14/2025 13:21:30,1.67,,,,,
85,05/14/2025 13:22:00,1.63,,,,,
86,05/14/2025 13:22:30,1.71,,,,,
87,05/14/2025 13:23:00,1.63,,,,,
88,05/14/2025 13:23:30,1.67,,,,,
89,05/14/2025 13:24:00,1.71,,,,,
90,05/14/2025 13:24:30,1.67,,,,,
91,05/14/2025 13:25:00,1.71,,,,,
92,05/14/2025 13:25:30,1.67,,,,,
93,05/14/2025 13:26:00,1.67,,,,,
94,05/14/2025 13:26:30,1.76,,,,,
95,05/14/2025 13:27:00,1.71,,,,,
96,05/14/2025 13:27:30,1.67,,,,,
97,05/14/2025 13:28:00,1.67,,,,,
98,05/14/2025 13:28:30,1.71,,,,,
99,05/14/2025 13:29:00,1.76,,,,,
100,05/14/2025 13:29:30,1.71,,,,,
101,05/14/2025 13:30:00,1.71,,,,,
102,05/14/2025 13:30:30,1.76,,,,,
103,05/14/2025 13:31:00,1.84,,,,,
104,05/14/2025 13:31:30,2.01,,,,,
105,05/14/2025 13:32:00,2.27,,,,,
106,05/14/2025 13:32:30,2.66,,,,,
107,05/14/2025 13:33:00,3.00,,,,,
108,05/14/2025 13:33:30,3.43,,,,,
109,05/14/2025 13:34:00,3.82,,,,,
110,05/14/2025 13:34:30,4.24,,,,,
111,05/14/2025 13:35:00,4.63,,,,,
112,05/14/2025 13:35:30,4.97,,,,,
113,05/14/2025 13:36:00,5.36,,,,,
114,05/14/2025 13:36:30,5.70,,,,,
115,05/14/2025 13:37:00,6.05,,,,,
116,05/14/2025 13:37:30,6.35,,,,,
117,05/14/2025 13:38:00,6.69,,,,,
118,05/14/2025 13:38:30,6.99,,,,,
119,05/14/2025 13:39:00,7.25,,,,,
120,05/14/2025 13:39:30,7.55,,,,,
121,05/14/2025 13:40:00,7.76,,,,,
122,05/14/2025 13:40:30,8.02,,,,,
123,05/14/2025 13:41:00,8.23,,,,,
124,05/14/2025 13:41:30,8.45,,,,,
125,05/14/2025 13:42:00,8.71,,,,,
126,05/14/2025 13:42:30,8.88,,,,,
127,05/14/2025 13:43:00,9.05,,,,,
128,05/14/2025 13:43:30,9.26,,,,,
129,05/14/2025 13:44:00,9.48,,,,,
130,05/14/2025 13:44:30,9.61,,,,,
131,05/14/2025 13:45:00,9.82,,,,,
132,05/14/2025 13:45:30,9.99,,,,,
133,05/14/2025 13:46:00,10.16,,,,,
134,05/14/2025 13:46:30,10.29,,,,,
135,05/14/2025 13:47:00,10.38,,,,,
136,05/14/2025 13:47:30,10.55,,,,,
137,05/14/2025 13:48:00,10.68,,,,,
138,05/14/2025 13:48:30,10.77,,,,,
139,05/14/2025 13:49:00,10.85,,,,,
140,05/14/2025 13:49:30,11.02,,,,,
141,05/14/2025 13:50:00,11.11,,,,,
142,05/14/2025 13:50:30,11.24,,,,,
143,05/14/2025 13:51:00,11.28,,,,,
144,05/14/2025 13:51:30,11.41,,,,,
145,05/14/2025 13:52:00,11.49,,,,,
146,05/14/2025 13:52:30,11.62,,,,,
147,05/14/2025 13:53:00,11.67,,,,,
148,05/14/2025 13:53:30,11.75,,,,,
149,05/14/2025 13:54:00,11.84,,,,,
150,05/14/2025 13:54:30,11.92,,,,,
151,05/14/2025 13:55:00,12.05,,,,,
152,05/14/2025 13:55:30,12.14,,,,,
153,05/14/2025 13:56:00,12.18,,,,,
154,05/14/2025 13:56:30,12.27,,,,,
155,05/14/2025 13:57:00,12.31,,,,,
156,05/14/2025 13:57:30,12.35,,,,,
157,05/14/2025 13:58:00,12.44,,,,,
158,05/14/2025 13:58:30,12.48,,,,,
159,05/14/2025 13:59:00,12.52,,,,,
160,05/14/2025 13:59:30,12.61,,,,,
161,05/14/2025 14:00:00,12.65,,,,,
162,05/14/2025 14:00:30,12.70,,,,,
163,05/14/2025 14:01:00,12.78,,,,,
164,05/14/2025 14:01:30,12.82,,,,,
165,05/14/2025 14:02:00,12.91,,,,,
166,05/14/2025 14:02:30,13.00,,,,,
167,05/14/2025 14:03:00,12.95,,,,,
168,05/14/2025 14:03:30,13.04,,,,,
169,05/14/2025 14:04:00,13.08,,,,,
170,05/14/2025 14:04:30,13.12,,,,,
171,05/14/2025 14:05:00,13.17,,,,,
172,05/14/2025 14:05:30,13.17,,,,,
173,05/14/2025 14:06:00,13.21,,,,,
174,05/14/2025 14:06:30,13.30,,,,,
175,05/14/2025 14:07:00,13.34,,,,,
176,05/14/2025 14:07:30,13.34,,,,,
177,05/14/2025 14:08:00,13.43,,,,,
178,05/14/2025 14:08:30,13.47,,,,,
179,05/14/2025 14:09:00,13.47,,,,,
180,05/14/2025 14:09:30,13.51,,,,,
181,05/14/2025 14:10:00,13.60,,,,,
182,05/14/2025 14:10:30,13.60,,,,,
183,05/14/2025 14:11:00,13.64,,,,,
184,05/14/2025 14:11:30,13.68,,,,,
185,05/14/2025 14:12:00,13.68,,,,,
186,05/14/2025 14:12:30,13.77,,,,,
187,05/14/2025 14:13:00,13.77,,,,,
188,05/14/2025 14:13:30,13.77,,,,,
189,05/14/2025 14:14:00,13.81,,,,,
190,05/14/2025 14:14:30,13.85,,,,,
191,05/14/2025 14:15:00,13.85,,,,,
192,05/14/2025 14:15:30,13.85,,,,,
193,05/14/2025 14:16:00,13.94,,,,,
194,05/14/2025 14:16:30,13.94,,,,,
195,05/14/2025 14:17:00,13.98,,,,,
196,05/14/2025 14:17:30,14.03,,,,,
197,05/14/2025 14:18:00,14.07,,,,,
198,05/14/2025 14:18:30,14.03,,,,,
199,05/14/2025 14:19:00,14.15,,,,,
200,05/14/2025 14:19:30,14.11,,,,,
201,05/14/2025 14:20:00,14.20,,,,,
202,05/14/2025 14:20:30,14.15,,,,,
203,05/14/2025 14:21:00,14.20,,,,,
204,05/14/2025 14:21:30,14.20,,,,,
205,05/14/2025 14:22:00,14.24,,,,,
206,05/14/2025 14:22:30,14.24,,,,,
207,05/14/2025 14:23:00,14.33,,,,,
208,05/14/2025 14:23:30,14.33,,,,,
209,05/14/2025 14:24:00,14.28,,,,,
210,05/14/2025 14:24:30,14.37,,,,,
211,05/14/2025 14:25:00,14.37,,,,,
212,05/14/2025 14:25:30,14.41,,,,,
213,05/14/2025 14:26:00,14.41,,,,,
214,05/14/2025 14:26:30,14.45,,,,,
215,05/14/2025 14:27:00,14.50,,,,,
216,05/14/2025 14:27:30,14.50,,,,,
217,05/14/2025 14:28:00,14.50,,,,,
218,05/14/2025 14:28:30,14.54,,,,,
219,05/14/2025 14:29:00,14.58,,,,,
220,05/14/2025 14:29:30,14.58,,,,,
221,05/14/2025 14:30:00,14.63,,,,,
222,05/14/2025 14:30:30,14.67,,,,,
223,05/14/2025 14:31:00,14.67,,,,,
224,05/14/2025 14:31:30,14.71,,,,,
225,05/14/2025 14:32:00,14.71,,,,,
226,05/14/2025 14:32:30,14.71,,,,,
227,05/14/2025 14:33:00,14.71,,,,,
228,05/14/2025 14:33:30,14.75,,,,,
229,05/14/2025 14:34:00,14.80,,,,,
230,05/14/2025 14:34:30,14.80,,,,,
231,05/14/2025 14:35:00,14.80,,,,,
232,05/14/2025 14:35:30,14.84,,,,,
233,05/14/2025 14:36:00,14.88,,,,,
234,05/14/2025 14:36:30,14.88,,,,,
235,05/14/2025 14:37:00,14.93,,,,,
236,05/14/2025 14:37:30,14.93,,,,,
237,05/14/2025 14:38:00,14.93,,,,,
238,05/14/2025 14:38:30,14.93,,,,,
239,05/14/2025 14:39:00,14.93,,,,,
240,05/14/2025 14:39:30,15.01,,,,,
241,05/14/2025 14:40:00,15.01,,,,,
242,05/14/2025 14:40:30,15.06,,,,,
243,05/14/2025 14:41:00,15.06,,,,,
244,05/14/2025 14:41:30,15.06,,,,,
245,05/14/2025 14:42:00,15.10,,,,,
246,05/14/2025 14:42:30,15.10,,,,,
247,05/14/2025 14:43:00,15.14,,,,,
248,05/14/2025 14:43:30,15.18,,,,,
249,05/14/2025 14:44:00,15.18,,,,,
250,05/14/2025 14:44:30,15.18,,,,,
251,05/14/2025 14:45:00,15.23,,,,,
252,05/14/2025 14:45:30,15.18,,,,,
253,05/14/2025 14:46:00,15.18,,,,,
254,05/14/2025 14:46:30,15.18,,,,,
255,05/14/2025 14:47:00,15.27,,,,,
256,05/14/2025 14:47:30,15.27,,,,,
257,05/14/2025 14:48:00,15.31,,,,,
258,05/14/2025 14:48:30,15.31,,,,,
259,05/14/2025 14:49:00,15.36,,,,,
260,05/14/2025 14:49:30,15.31,,,,,
261,05/14/2025 14:50:00,15.36,,,,,
262,05/14/2025 14:50:30,15.40,,,,,
263,05/14/2025 14:51:00,15.40,,,,,
264,05/14/2025 14:51:30,15.44,,,,,
265,05/14/2025 14:52:00,15.44,,,,,
266,05/14/2025 14:52:30,15.44,,,,,
267,05/14/2025 14:53:00,15.44,,,,,
268,05/14/2025 14:53:30,15.44,,,,,
269,05/14/2025 14:54:00,15.44,,,,,
270,05/14/2025 14:54:30,15.48,,,,,
271,05/14/2025 14:55:00,15.48,,,,,
272,05/14/2025 14:55:30,15.53,,,,,
273,05/14/2025 14:56:00,15.48,,,,,
274,05/14/2025 14:56:30,15.57,,,,,
275,05/14/2025 14:57:00,15.53,,,,,
276,05/14/2025 14:57:30,15.61,,,,,
277,05/14/2025 14:58:00,15.61,,,,,
278,05/14/2025 14:58:30,15.61,,,,,
279,05/14/2025 14:59:00,15.61,,,,,
280,05/14/2025 14:59:30,15.61,,,,,
281,05/14/2025 15:00:00,15.57,,,,,
282,05/14/2025 15:00:30,15.61,,,,,
283,05/14/2025 15:01:00,15.61,,,,,
284,05/14/2025 15:01:30,15.66,,,,,
285,05/14/2025 15:02:00,15.61,,,,,
286,05/14/2025 15:02:30,15.66,,,,,
287,05/14/2025 15:03:00,15.66,,,,,
288,05/14/2025 15:03:30,15.70,,,,,
289,05/14/2025 15:04:00,15.66,,,,,
290,05/14/2025 15:04:30,15.70,,,,,
291,05/14/2025 15:05:00,15.70,,,,,
292,05/14/2025 15:05:30,15.70,,,,,
293,05/14/2025 15:06:00,15.74,,,,,
294,05/14/2025 15:06:30,15.74,,,,,
295,05/14/2025 15:07:00,15.83,,,,,
296,05/14/2025 15:07:30,15.74,,,,,
297,05/14/2025 15:08:00,15.78,,,,,
298,05/14/2025 15:08:30,15.78,,,,,
299,05/14/2025 15:09:00,15.78,,,,,
300,05/14/2025 15:09:30,15.78,,,,,
301,05/14/2025 15:10:00,15.87,,,,,
302,05/14/2025 15:10:30,15.83,,,,,
303,05/14/2025 15:11:00,15.83,,,,,
304,05/14/2025 15:11:30,15.83,,,,,
305,05/14/2025 15:12:00,15.83,,,,,
306,05/14/2025 15:12:30,15.87,,,,,
307,05/14/2025 15:13:00,15.91,,,,,
308,05/14/2025 15:13:30,15.87,,,,,
309,05/14/2025 15:14:00,15.83,,,,,
310,05/14/2025 15:14:30,15.83,,,,,
311,05/14/2025 15:15:00,15.83,,,,,
312,05/14/2025 15:15:30,15.87,,,,,
313,05/14/2025 15:16:00,15.91,,,,,
314,05/14/2025 15:16:30,15.87,,,,,
315,05/14/2025 15:17:00,15.87,,,,,
316,05/14/2025 15:17:30,15.91,,,,,
317,05/14/2025 15:18:00,15.91,,,,,
318,05/14/2025 15:18:30,15.91,,,,,
319,05/14/2025 15:19:00,15.91,,,,,
320,05/14/2025 15:19:30,15.91,,,,,
321,05/14/2025 15:20:00,15.87,,,,,
322,05/14/2025 15:20:30,15.91,,,,,
323,05/14/2025 15:21:00,15.91,,,,,
324,05/14/2025 15:21:30,15.87,,,,,
325,05/14/2025 15:22:00,15.91,,,,,
326,05/14/2025 15:22:30,15.91,,,,,
327,05/14/2025 15:23:00,15.91,,,,,
328,05/14/2025 15:23:30,15.96,,,,,
329,05/14/2025 15:24:00,15.91,,,,,
330,05/14/2025 15:24:30,15.87,,,,,
331,05/14/2025 15:25:00,16.00,,,,,
332,05/14/2025 15:25:30,15.91,,,,,
333,05/14/2025 15:26:00,15.96,,,,,
334,05/14/2025 15:26:30,15.96,,,,,
335,05/14/2025 15:27:00,16.13,,,,,
336,05/14/2025 15:27:30,16.26,,,,,
337,05/14/2025 15:28:00,16.39,,,,,
338,05/14/2025 15:28:30,16.60,,,,,
339,05/14/2025 15:29:00,16.73,,,,,
340,05/14/2025 15:29:30,16.90,,,,,
341,05/14/2025 15:30:00,17.07,,,,,
342,05/14/2025 15:30:30,17.16,,,,,
343,05/14/2025 15:31:00,17.29,,,,,
344,05/14/2025 15:31:30,17.37,,,,,
345,05/14/2025 15:32:00,17.50,,,,,
346,05/14/2025 15:32:30,17.54,,,,,
347,05/14/2025 15:33:00,17.59,,,,,
348,05/14/2025 15:33:30,17.67,,,,,
349,05/14/2025 15:34:00,17.76,,,,,
350,05/14/2025 15:34:25,,,,Logged,Logged,
351,05/14/2025 15:34:28,,,Logged,,,
352,05/14/2025 15:34:30,17.84,,,,,Logged
